Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
27.0,0.16,84.0,20,289,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,1550.95
11.22,0.19,1248.0,60,75000,From RDC,Air,Uganda,Adult,Tablet,No,132890.27
7.71,0.13,150.0,60,1305,Direct Drop,Air,Rwanda,Pediatric,Tablet,Yes,2682.48
6.49,0.11,1248.0,60,165179,Direct Drop,Ocean,Uganda,Adult,Tablet,Yes,33981.11
1.43,0.02,216.0,60,3250,From RDC,Air Charter,Nigeria,Adult,Capsule,Yes,9736.1
2.51,0.04,1421.0,60,5924,From RDC,Air,Uganda,Adult,Tablet,Yes,4322.6
7.27,0.12,704.0,60,7867,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,25568.0
11.22,0.19,3508.0,60,30060,From RDC,Air,Côte d'Ivoire,Adult,Tablet,Yes,5254.1
16.0,0.18,38.0,90,400,From RDC,Air,Nigeria,Pediatric,Capsule,Yes,1161.13
1.49,0.02,2034.0,60,4860,From RDC,Air,Haiti,Adult,Capsule,Yes,23441.88
8.58,0.14,1248.0,60,120000,From RDC,Truck,Mozambique,Adult,Tablet,Yes,29935.05
16.0,0.18,5588.0,90,1132,From RDC,Air,Nigeria,Pediatric,Capsule,No,18617.93
0.01,0.0,157.0,30,84,Direct Drop,Air,Rwanda,Adult,Tablet,No,7922.24
8.58,0.61,52.0,336,14,Direct Drop,Air,Vietnam,Adult,Capsule,Yes,7339.84
10.0,0.33,419.0,30,5000,From RDC,Air,Namibia,Adult,Tablet,Yes,2317.2
4.3,0.14,3789.0,30,47963,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,9582.55
20.04,0.17,546.0,120,200,From RDC,Air,Burundi,Adult,Tablet,No,4195.64
4.82,0.16,354.0,30,5856,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,3026.62
11.48,0.38,654.0,30,8400,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,4051.34
